model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
tree,True,1,0.5,0.5882352941176471,0.1388888888888889,62,7,0.7350427350427351,0.6616390145801911,10,172,72
tree,True,2,0.5,0.5882352941176471,0.11627906976744186,76,7,0.6752136752136753,0.6317244846656611,10,158,86
tree,True,3,0.5,0.47058823529411764,0.12903225806451613,54,9,0.7692307692307693,0.6199095022624435,8,180,62
tree,True,4,0.5,0.5,0.08080808080808081,91,8,0.6111111111111112,0.5555555555555556,8,143,99
tree,True,5,0.5,0.75,0.13636363636363635,76,4,0.6752136752136753,0.7126068376068376,12,158,88
tree,True,1,0.8,0.0,,0,17,1.0,0.5,0,234,0
tree,True,2,0.8,0.11764705882352941,0.16666666666666666,10,15,0.9572649572649573,0.5374560080442433,2,224,12
tree,True,3,0.8,0.17647058823529413,0.11538461538461539,23,14,0.9017094017094017,0.5390899949723479,3,211,26
tree,True,4,0.8,0.3125,0.14705882352941177,29,11,0.8760683760683761,0.594284188034188,5,205,34
tree,True,5,0.8,0.4375,0.1891891891891892,30,9,0.8717948717948718,0.6546474358974359,7,204,37
small_forest,False,1,0.2,1.0,0.07906976744186046,198,0,0.15384615384615385,0.5769230769230769,17,36,215
small_forest,False,2,0.2,1.0,0.0787037037037037,199,0,0.14957264957264957,0.5747863247863247,17,35,216
small_forest,False,3,0.2,0.9411764705882353,0.07582938388625593,195,1,0.16666666666666666,0.553921568627451,16,39,211
small_forest,False,4,0.2,0.9375,0.0684931506849315,204,1,0.1282051282051282,0.5328525641025641,15,30,219
small_forest,False,5,0.2,1.0,0.06837606837606838,218,0,0.06837606837606838,0.5341880341880342,16,16,234
small_forest,False,1,0.5,0.29411764705882354,0.2631578947368421,14,12,0.9401709401709402,0.6171442936148819,5,220,19
small_forest,False,2,0.5,0.23529411764705882,0.19047619047619047,17,13,0.9273504273504274,0.5813222724987431,4,217,21
small_forest,False,3,0.5,0.11764705882352941,0.07407407407407407,25,15,0.8931623931623932,0.5054047259929613,2,209,27
small_forest,False,4,0.5,0.25,0.3076923076923077,9,12,0.9615384615384616,0.6057692307692308,4,225,13
small_forest,False,5,0.5,0.0625,0.09090909090909091,10,15,0.9572649572649573,0.5098824786324787,1,224,11
small_forest,False,1,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,False,2,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,False,3,0.8,0.0,,0,17,1.0,0.5,0,234,0
small_forest,False,4,0.8,0.0,,0,16,1.0,0.5,0,234,0
small_forest,False,5,0.8,0.0,,0,16,1.0,0.5,0,234,0
