model,indicators,fold,threshold,recall,precision,FP,FN,specificity,balanced_accuracy,TP,TN,flagged
shallow_boosting,False,2,0.25,0.5294117647058824,0.2903225806451613,22,8,0.905982905982906,0.7176973353443942,9,212,31
shallow_boosting,False,3,0.25,0.35294117647058826,0.20689655172413793,23,11,0.9017094017094017,0.627325289089995,6,211,29
shallow_boosting,False,4,0.25,0.3125,0.17857142857142858,23,11,0.9017094017094017,0.6071047008547008,5,211,28
shallow_boosting,False,5,0.25,0.375,0.20689655172413793,23,10,0.9017094017094017,0.6383547008547008,6,211,29
shallow_boosting,False,1,0.3,0.29411764705882354,0.17857142857142858,23,12,0.9017094017094017,0.5979135243841126,5,211,28
shallow_boosting,False,2,0.3,0.4117647058823529,0.30434782608695654,16,10,0.9316239316239316,0.6716943187531423,7,218,23
shallow_boosting,False,3,0.3,0.29411764705882354,0.22727272727272727,17,12,0.9273504273504274,0.6107340372046255,5,217,22
shallow_boosting,False,4,0.3,0.3125,0.22727272727272727,17,11,0.9273504273504274,0.6199252136752137,5,217,22
shallow_boosting,False,5,0.3,0.3125,0.23809523809523808,16,11,0.9316239316239316,0.6220619658119658,5,218,21
shallow_boosting,False,1,0.35,0.29411764705882354,0.21739130434782608,18,12,0.9230769230769231,0.6085972850678734,5,216,23
shallow_boosting,False,2,0.35,0.23529411764705882,0.26666666666666666,11,13,0.9529914529914529,0.5941427853192559,4,223,15
shallow_boosting,False,3,0.35,0.17647058823529413,0.2,12,14,0.9487179487179487,0.5625942684766214,3,222,15
shallow_boosting,False,4,0.35,0.3125,0.2631578947368421,14,11,0.9401709401709402,0.6263354700854701,5,220,19
shallow_boosting,False,5,0.35,0.3125,0.2631578947368421,14,11,0.9401709401709402,0.6263354700854701,5,220,19
shallow_boosting,False,1,0.4,0.29411764705882354,0.2631578947368421,14,12,0.9401709401709402,0.6171442936148819,5,220,19
shallow_boosting,False,2,0.4,0.17647058823529413,0.25,9,14,0.9615384615384616,0.5690045248868778,3,225,12
shallow_boosting,False,3,0.4,0.058823529411764705,0.09090909090909091,10,16,0.9572649572649573,0.508044243338361,1,224,11
shallow_boosting,False,4,0.4,0.25,0.3076923076923077,9,12,0.9615384615384616,0.6057692307692308,4,225,13
shallow_boosting,False,5,0.4,0.125,0.16666666666666666,10,14,0.9572649572649573,0.5411324786324787,2,224,12
shallow_boosting,False,1,0.45,0.17647058823529413,0.2,12,14,0.9487179487179487,0.5625942684766214,3,222,15
shallow_boosting,False,2,0.45,0.17647058823529413,0.5,3,14,0.9871794871794872,0.5818250377073907,3,231,6
shallow_boosting,False,3,0.45,0.058823529411764705,0.125,7,16,0.9700854700854701,0.5144544997486173,1,227,8
shallow_boosting,False,4,0.45,0.25,0.4,6,12,0.9743589743589743,0.6121794871794872,4,228,10
shallow_boosting,False,5,0.45,0.125,0.2,8,14,0.9658119658119658,0.545405982905983,2,226,10
shallow_boosting,True,1,0.25,0.29411764705882354,0.16666666666666666,25,12,0.8931623931623932,0.5936400201106083,5,209,30
shallow_boosting,True,2,0.25,0.5294117647058824,0.2903225806451613,22,8,0.905982905982906,0.7176973353443942,9,212,31
shallow_boosting,True,3,0.25,0.35294117647058826,0.20689655172413793,23,11,0.9017094017094017,0.627325289089995,6,211,29
shallow_boosting,True,4,0.25,0.3125,0.17857142857142858,23,11,0.9017094017094017,0.6071047008547008,5,211,28
shallow_boosting,True,5,0.25,0.375,0.20689655172413793,23,10,0.9017094017094017,0.6383547008547008,6,211,29
shallow_boosting,True,1,0.3,0.29411764705882354,0.17857142857142858,23,12,0.9017094017094017,0.5979135243841126,5,211,28
shallow_boosting,True,2,0.3,0.4117647058823529,0.30434782608695654,16,10,0.9316239316239316,0.6716943187531423,7,218,23
shallow_boosting,True,3,0.3,0.29411764705882354,0.22727272727272727,17,12,0.9273504273504274,0.6107340372046255,5,217,22
shallow_boosting,True,4,0.3,0.3125,0.22727272727272727,17,11,0.9273504273504274,0.6199252136752137,5,217,22
shallow_boosting,True,5,0.3,0.3125,0.23809523809523808,16,11,0.9316239316239316,0.6220619658119658,5,218,21
shallow_boosting,True,1,0.35,0.29411764705882354,0.21739130434782608,18,12,0.9230769230769231,0.6085972850678734,5,216,23
shallow_boosting,True,2,0.35,0.23529411764705882,0.26666666666666666,11,13,0.9529914529914529,0.5941427853192559,4,223,15
shallow_boosting,True,3,0.35,0.17647058823529413,0.2,12,14,0.9487179487179487,0.5625942684766214,3,222,15
shallow_boosting,True,4,0.35,0.3125,0.2631578947368421,14,11,0.9401709401709402,0.6263354700854701,5,220,19
shallow_boosting,True,5,0.35,0.3125,0.2631578947368421,14,11,0.9401709401709402,0.6263354700854701,5,220,19
